source_id,date,unit,PM10,SO2,NO,NO2,PPM25,vexit_m_s
K10O,2016-07-20 00:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 01:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 02:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 03:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 04:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 05:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 06:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 07:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 08:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 09:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 10:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 11:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 12:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 13:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 14:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 15:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 16:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 17:00,kg/h,0.003812584,0.117503341,2.048648533,0.165329531,0,11.473
K10O,2016-07-20 18:00,kg/h,0.051484806,1.586754868,27.66477101,2.232595555,0,11.473
K10O,2016-07-20 19:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 20:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 21:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 22:00,kg/h,0,0,0,0,0,11.473
K10O,2016-07-20 23:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 00:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 01:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 02:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 03:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 04:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 05:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 06:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 07:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 08:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 09:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 10:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 11:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 12:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 13:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 14:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 15:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 16:00,kg/h,0,0,0,0,0,11.473
K11O,2016-07-20 17:00,kg/h,0.00160035,0.131398494,9.501444221,0.766783218,0,11.473
K11O,2016-07-20 18:00,kg/h,0.005509877,0.452394553,4.906907404,0.395996036,0,11.473
K11O,2016-07-20 19:00,kg/h,0.006738858,0.553301434,6.001396092,0.484323193,0,11.473
K11O,2016-07-20 20:00,kg/h,0.003942129,0.323672843,23.4048304,1.888810874,0,11.473
K11O,2016-07-20 21:00,kg/h,0.003875175,0.318175581,23.00732262,1.856731299,0,11.473
K11O,2016-07-20 22:00,kg/h,0.003836764,0.315021774,22.77927034,1.83832708,0,11.473
K11O,2016-07-20 23:00,kg/h,0.003879216,0.318507308,23.03130982,1.858667108,0,11.473
